"","Symbol","Year","Quarter","Holding_Return"
"1","AABA","Y2008","Q1",0.375409918782891
"2","AABA","Y2009","Q1",-0.00893933150138404
"3","AABA","Y2010","Q1",-0.0300661469333785
"4","AABA","Y2011","Q1",0.233726052323266
"5","AABA","Y2012","Q1",1.03216075466834
"6","AABA","Y2013","Q1",0.249010859970815
"7","AABA","Y2014","Q1",-0.341516545045406
"8","AABA","Y2015","Q1",0.162657856879091
"9","AABA","Y2016","Q1",0.806309843002133
"10","AABA","Y2017","Q1",NA
"11","AAL","Y2008","Q1",NA
"12","AAL","Y2009","Q1",1.06818181688199
"13","AAL","Y2010","Q1",-0.493506492927707
"14","AAL","Y2011","Q1",1.66272189356623
"15","AAL","Y2012","Q1",0.870370368929344
"16","AAL","Y2013","Q1",1.12396043556031
"17","AAL","Y2014","Q1",-0.21033009129913
"18","AAL","Y2015","Q1",0.10247936774213
"19","AAL","Y2016","Q1",0.114371388293807
"20","AAL","Y2017","Q1",NA
"21","AAOI","Y2008","Q1",NA
"22","AAOI","Y2009","Q1",NA
"23","AAOI","Y2010","Q1",NA
"24","AAOI","Y2011","Q1",NA
"25","AAOI","Y2012","Q1",0.501
"26","AAOI","Y2013","Q1",-0.252498331277362
"27","AAOI","Y2014","Q1",0.529411760996044
"28","AAOI","Y2015","Q1",0.365967413811486
"29","AAOI","Y2016","Q1",0.613481136593935
"30","AAOI","Y2017","Q1",NA
"31","AAON","Y2008","Q1",-0.0665707511427635
"32","AAON","Y2009","Q1",0.447408964251544
"33","AAON","Y2010","Q1",0.634260865668708
"34","AAON","Y2011","Q1",0.0185456436839038
"35","AAON","Y2012","Q1",2.44453728739485
"36","AAON","Y2013","Q1",0.576760566547066
"37","AAON","Y2014","Q1",0.0370701225844423
"38","AAON","Y2015","Q1",0.423341966202504
"39","AAON","Y2016","Q1",0.110438793186292
"40","AAON","Y2017","Q1",NA
"41","AAPL","Y2008","Q1",NA
"42","AAPL","Y2009","Q1",0.530679120437149
"43","AAPL","Y2010","Q1",0.255580306171463
"44","AAPL","Y2011","Q1",0.313999966858127
"45","AAPL","Y2012","Q1",0.0542120202064342
"46","AAPL","Y2013","Q1",8.6406899508635
"47","AAPL","Y2014","Q1",-0.0463851708160243
"48","AAPL","Y2015","Q1",0.100322988178266
"49","AAPL","Y2016","Q1",0.461146572740846
"50","AAPL","Y2017","Q1",NA
"51","AAWW","Y2008","Q1",0.970899470512417
"52","AAWW","Y2009","Q1",0.498791999527562
"53","AAWW","Y2010","Q1",-0.311660421740438
"54","AAWW","Y2011","Q1",0.153265676606094
"55","AAWW","Y2012","Q1",-0.071525225656526
"56","AAWW","Y2013","Q1",0.198055810065929
"57","AAWW","Y2014","Q1",-0.161460428901564
"58","AAWW","Y2015","Q1",0.261490130297636
"59","AAWW","Y2016","Q1",0.124640455481857
"60","AAWW","Y2017","Q1",NA
"61","AAXN","Y2008","Q1",-0.170454546066788
"62","AAXN","Y2009","Q1",0.0730593604102703
"63","AAXN","Y2010","Q1",0.0893617015551043
"64","AAXN","Y2011","Q1",0.74609375018561
"65","AAXN","Y2012","Q1",0.77628635282179
"66","AAXN","Y2013","Q1",0.667506297792528
"67","AAXN","Y2014","Q1",-0.347054343154099
"68","AAXN","Y2015","Q1",0.40196637482207
"69","AAXN","Y2016","Q1",0.0932343227938901
"70","AAXN","Y2017","Q1",NA
"71","ABAC","Y2008","Q1",NA
"72","ABAC","Y2009","Q1",NA
"73","ABAC","Y2010","Q1",-0.798400000904304
"74","ABAC","Y2011","Q1",-0.325396828595601
"75","ABAC","Y2012","Q1",1.56470590255726
"76","ABAC","Y2013","Q1",-0.206422012703044
"77","ABAC","Y2014","Q1",-0.4797687896712
"78","ABAC","Y2015","Q1",-0.748611105802717
"79","ABAC","Y2016","Q1",-0.185082864192599
"80","ABAC","Y2017","Q1",NA
"81","ABAX","Y2008","Q1",NA
"82","ABAX","Y2009","Q1",0.0508806674382098
"83","ABAX","Y2010","Q1",0.0305400375924028
"84","ABAX","Y2011","Q1",0.340802240515077
"85","ABAX","Y2012","Q1",0.0784366610800771
"86","ABAX","Y2013","Q1",0.420395021523694
"87","ABAX","Y2014","Q1",-0.0202358254554658
"88","ABAX","Y2015","Q1",-0.0522629306908149
"89","ABAX","Y2016","Q1",-0.0615880240958483
"90","ABAX","Y2017","Q1",NA
"91","ABCD","Y2008","Q1",NA
"92","ABCD","Y2009","Q1",-0.122448979710306
"93","ABCD","Y2010","Q1",-0.12209302283409
"94","ABCD","Y2011","Q1",-0.632450331246578
"95","ABCD","Y2012","Q1",0.495495495602148
"96","ABCD","Y2013","Q1",-1.23823351572128e-09
"97","ABCD","Y2014","Q1",1.92168674705486
"98","ABCD","Y2015","Q1",0.0288659788820527
"99","ABCD","Y2016","Q1",0.13827655465246
"100","ABCD","Y2017","Q1",NA
"101","ABEO","Y2008","Q1",2.32323232591022
"102","ABEO","Y2009","Q1",-0.24620060807253
"103","ABEO","Y2010","Q1",-0.419354839172084
"104","ABEO","Y2011","Q1",-0.833333333540823
"105","ABEO","Y2012","Q1",0.0416666679521862
"106","ABEO","Y2013","Q1",-0.994480000486571
"107","ABEO","Y2014","Q1",-0.0260869555820837
"108","ABEO","Y2015","Q1",0.443452380335491
"109","ABEO","Y2016","Q1",2.26804123777857
"110","ABEO","Y2017","Q1",NA
"111","ABIO","Y2008","Q1",-0.973709677299328
"112","ABIO","Y2009","Q1",-0.0276073552787114
"113","ABIO","Y2010","Q1",-0.684542584290193
"114","ABIO","Y2011","Q1",-0.619999999567286
"115","ABIO","Y2012","Q1",-0.877192992887173
"116","ABIO","Y2013","Q1",-0.434523761787243
