"","Items","Symbol","Year","Amount","Average_Share_Price","PE_Ratio"
"1","Earnings Per Share USD","FLWS","Y2008",0.32,6.51086956521739,20.3464673913043
"2","Earnings Per Share CNY","VNET","Y2008",0,NA,NA
"3","Earnings Per Share USD","TWOU","Y2008",0,NA,NA
"4","Earnings Per Share CNY","JOBS","Y2008",1.83,NA,NA
"5","Earnings Per Share USD","CAFD","Y2008",0,NA,NA
"6","Earnings Per Share USD","AVHI","Y2008",2.22,NA,NA
"7","Earnings Per Share USD","SHLM","Y2008",0.66,15.391976229249,23.3211761049227
"8","Earnings Per Share USD","AAON","Y2008",0.36,NA,NA
"9","Earnings Per Share USD","ABAX","Y2008",0.56,21.4317687035573,38.2710155420666
"10","Earnings Per Share USD","ABEO","Y2008",-516,NA,NA
"11","Earnings Per Share USD","ABMD","Y2008",-1.26,15.6398023873518,-12.4125415772633
"12","Earnings Per Share EUR","ABLX","Y2008",-0.49,NA,NA
"13","Earnings Per Share USD","AXAS","Y2008",1.19,NA,NA
"14","Earnings Per Share CHF","ACIU","Y2008",0,NA,NA
"15","Earnings Per Share USD","ACIA","Y2008",0,NA,NA
"16","Earnings Per Share USD","ACTG","Y2008",-0.26,NA,NA
"17","Earnings Per Share USD","ACHC","Y2008",0,NA,NA
"18","Earnings Per Share USD","ACAD","Y2008",-1.6,NA,NA
"19","Earnings Per Share CAD","ACST","Y2008",0,NA,NA
"20","Earnings Per Share USD","AXDX","Y2008",-0.19,NA,NA
"21","Earnings Per Share USD","XLRN","Y2008",0,NA,NA
"22","Earnings Per Share USD","ARAY","Y2008",0.09,8.43893281422925,93.7659201581028
"23","Earnings Per Share USD","ACRX","Y2008",0,NA,NA
"24","Earnings Per Share USD","ACER","Y2008",-641.98,NA,NA
"25","Earnings Per Share USD","ACET","Y2008",0.54,6.34764580632411,11.7548996413409
"26","Earnings Per Share USD","AKAO","Y2008",0,NA,NA
"27","Earnings Per Share USD","ACHV","Y2008",-1062.93,NA,NA
"28","Earnings Per Share USD","ACHN","Y2008",-1.8,NA,NA
"29","Earnings Per Share USD","ACIW","Y2008",-0.08,NA,NA
"30","Earnings Per Share USD","ACRS","Y2008",0,NA,NA
"31","Earnings Per Share USD","ACMR","Y2008",0,NA,NA
"32","Earnings Per Share USD","ACOR","Y2008",-1.45,NA,NA
"33","Earnings Per Share USD","ATVI","Y2008",0.55,13.0275638379447,23.6864797053539
"34","Earnings Per Share USD","ACXM","Y2008",-0.1,11.2523138932806,-112.523138932806
"35","Earnings Per Share USD","ADMS","Y2008",0,NA,NA
"36","Earnings Per Share USD","ADMP","Y2008",52.33,NA,NA
"37","Earnings Per Share USD","ADAP","Y2008",0,NA,NA
"38","Earnings Per Share USD","ADUS","Y2008",-3.62,NA,NA
"39","Earnings Per Share USD","AEY","Y2008",0.44,3.20841897233202,7.29186130075458
"40","Earnings Per Share USD","IOTS","Y2008",0,NA,NA
"41","Earnings Per Share USD","ADMA","Y2008",0,NA,NA
"42","Earnings Per Share USD","ADBE","Y2008",1.59,35.3268379209486,22.2181370572004
"43","Earnings Per Share USD","ADOM","Y2008",0,NA,NA
"44","Earnings Per Share USD","ADTN","Y2008",1.1,NA,NA
"45","Earnings Per Share USD","ADRO","Y2008",0,NA,NA
"46","Earnings Per Share USD","ADES","Y2008",0.03,NA,NA
"47","Earnings Per Share USD","AEIS","Y2008",-0.04,12.629249,-315.731225
"48","Earnings Per Share USD","AMD","Y2008",-6.06,NA,NA
"49","Earnings Per Share USD","ADXS","Y2008",-6.25,10.0760869565217,-1.61217391304348
"50","Earnings Per Share USD","ADVM","Y2008",0,NA,NA
"51","Earnings Per Share USD","AEGN","Y2008",0.09,NA,NA
"52","Earnings Per Share USD","AGLE","Y2008",0,NA,NA
"53","Earnings Per Share USD","AEHR","Y2008",1.24,5.80861660079051,4.68436822644396
"54","Earnings Per Share USD","AMTX","Y2008",-0.7,NA,NA
"55","Earnings Per Share USD","AERI","Y2008",0,NA,NA
"56","Earnings Per Share USD","AVAV","Y2008",1,27.6432410671937,27.6432410671937
"57","Earnings Per Share USD","AEZS","Y2008",-366,NA,NA
"58","Earnings Per Share USD","AEMD","Y2008",-6,21.8102766798419,-3.63504611330698
"59","Earnings Per Share USD","GNMX","Y2008",0,NA,NA
"60","Earnings Per Share EUR","AFMD","Y2008",0,NA,NA
"61","Earnings Per Share USD","AGEN","Y2008",-4.86,NA,NA
"62","Earnings Per Share USD","AGRX","Y2008",0,NA,NA
"63","Earnings Per Share USD","AGYS","Y2008",0.13,9.81396802371541,75.4920617208878
"64","Earnings Per Share USD","AGIO","Y2008",0,NA,NA
"65","Earnings Per Share USD","AGNC","Y2008",0,NA,NA
"66","Earnings Per Share USD","AGNCB","Y2008",0,NA,NA
"67","Earnings Per Share USD","ALRN","Y2008",0,NA,NA
"68","Earnings Per Share USD","AIMT","Y2008",0,NA,NA
"69","Earnings Per Share USD","AIRT","Y2008",1.4,NA,NA
"70","Earnings Per Share USD","ATSG","Y2008",0.33,NA,NA
"71","Earnings Per Share USD","AIRG","Y2008",0,NA,NA
"72","Earnings Per Share USD","AMCN","Y2008",-0.24,NA,NA
"73","Earnings Per Share USD","AKAM","Y2008",0.56,NA,NA
"74","Earnings Per Share USD","AKTX","Y2008",0,NA,NA
"75","Earnings Per Share USD","AKCA","Y2008",0,NA,NA
"76","Earnings Per Share USD","AKBA","Y2008",0,NA,NA
"77","Earnings Per Share USD","AKER","Y2008",0,NA,NA
"78","Earnings Per Share USD","AKRX","Y2008",-0.22,NA,NA
"79","Earnings Per Share USD","AKTS","Y2008",0,NA,NA
"80","Earnings Per Share USD","ALRM","Y2008",0,NA,NA
"81","Earnings Per Share USD","ALSK","Y2008",3.26,NA,NA
"82","Earnings Per Share USD","ALBO","Y2008",-211.2,NA,NA
"83","Earnings Per Share USD","ALDR","Y2008",0,NA,NA
"84","Earnings Per Share USD","ALDX","Y2008",0,NA,NA
"85","Earnings Per Share USD","ALXN","Y2008",0.2,18.1341303715415,90.6706518577075
"86","Earnings Per Share USD","ALCO","Y2008",0.64,36.3512509288538,56.798829576334
"87","Earnings Per Share USD","ALGN","Y2008",0.5,NA,NA
"88","Earnings Per Share USD","ALIM","Y2008",0,NA,NA
"89","Earnings Per Share USD","ALJJ","Y2008",0.13,0.389130434782609,2.9933110367893
"90","Earnings Per Share USD","ALKS","Y2008",1.62,12.213794458498,7.53937929536915
"91","Earnings Per Share USD","ALGT","Y2008",1.53,NA,NA
"92","Earnings Per Share USD","ALNA","Y2008",0,NA,NA
"93","Earnings Per Share USD","AHGP","Y2008",1.47,NA,NA
"94","Earnings Per Share USD","AMMA","Y2008",0,NA,NA
"95","Earnings Per Share USD","ARLP","Y2008",1.52,NA,NA
"96","Earnings Per Share USD","AHPI","Y2008",0.22,11.8693280632411,53.9514911965505
"97","Earnings Per Share USD","AMOT","Y2008",0.33,NA,NA
"98","Earnings Per Share USD","ALQA","Y2008",-26.25,NA,NA
"99","Earnings Per Share USD","ALLT","Y2008",-0.46,NA,NA
"100","Earnings Per Share USD","MDRX","Y2008",0.22,NA,NA
"101","Earnings Per Share USD","AFAM","Y2008",1.36,NA,NA
"102","Earnings Per Share USD","ALNY","Y2008",-0.64,27.1632411581028,-42.4425643095356
"103","Earnings Per Share USD","AOSL","Y2008",0,NA,NA
"104","Earnings Per Share USD","GOOG","Y2008",6.66,230.924069079051,34.6732836455032
"105","Earnings Per Share USD","GOOGL","Y2008",6.66,232.658666774704,34.9337337499555
"106","Earnings Per Share USD","ATEC","Y2008",-6.48,NA,NA
"107","Earnings Per Share USD","ALPN","Y2008",0,NA,NA
"108","Earnings Per Share USD","AABA","Y2008",0.47,NA,NA
"109","Earnings Per Share USD","ALTR","Y2008",0,NA,NA
"110","Earnings Per Share USD","ALT","Y2008",-18.8,NA,NA
"111","Earnings Per Share USD","ASPS","Y2008",0,NA,NA
"112","Earnings Per Share USD","AIMC","Y2008",0.47,NA,NA
"113","Earnings Per Share USD","AMAG","Y2008",-2.15,NA,NA
"114","Earnings Per Share USD","AMRN","Y2008",-0.39,NA,NA
"115","Earnings Per Share USD","AMRK","Y2008",0,NA,NA
"116","Earnings Per Share USD","AMZN","Y2008",1.49,69.8800396798419,46.8993554898268
"117","Earnings Per Share USD","AMBA","Y2008",0,NA,NA
"118","Earnings Per Share USD","AMCX","Y2008",0,NA,NA
"119","Earnings Per Share USD","DOX","Y2008",1.74,25.8545552094862,14.8589397755668
"120","Earnings Per Share USD","AMDA","Y2008",0,NA,NA
"121","Earnings Per Share USD","AMED","Y2008",2.48,NA,NA
"122","Earnings Per Share USD","UHAL","Y2008",2.78,44.8166137233202,16.1210840731367
"123","Earnings Per Share USD","AMRH","Y2008",2.29,NA,NA
"124","Earnings Per Share USD","AAL","Y2008",-21.85,7.47417135573123,-0.342067338935067
"125","Earnings Per Share USD","AETI","Y2008",0.08,NA,NA
"126","Earnings Per Share USD","AOBC","Y2008",0.22,4.50249011857708,20.4658641753503
"127","Earnings Per Share USD","APEI","Y2008",0.64,NA,NA
"128","Earnings Per Share USD","ARII","Y2008",1.74,NA,NA
"129","Earnings Per Share USD","AMSWA","Y2008",0.25,3.60172101976285,14.4068840790514
"130","Earnings Per Share USD","AMSC","Y2008",-6.5,238.19248998419,-36.6449984591061
"131","Earnings Per Share USD","AMWD","Y2008",0.29,19.2273368063241,66.3011614011176
"132","Earnings Per Share USD","CRMT","Y2008",1.26,14.7962055375494,11.7430202678964
"133","Earnings Per Share USD","AMGN","Y2008",3.77,44.1060185810277,11.6992091726864
"134","Earnings Per Share USD","FOLD","Y2008",-3.14,NA,NA
