"","Symbol","Year","Average_Volume"
"1","ABAC","Y2012",4671.2
"2","ABEO","Y2009",614.68253968254
"3","ABEO","Y2010",665.873015873016
"4","ABEO","Y2011",436.111111111111
"5","ABEO","Y2012",976.8
"6","ABEO","Y2013",642.063492063492
"7","ABEO","Y2014",1594.84126984127
"8","ABIO","Y2009",2350
"9","ABIO","Y2011",4842.85714285714
"10","ABIO","Y2012",3275.2
"11","ABLX","Y2016",0
"12","ABUS","Y2009",5289.96825396825
"13","ACER","Y2009",2048.4126984127
"14","ACER","Y2010",598.809523809524
"15","ACER","Y2011",652.777777777778
"16","ACER","Y2012",278.4
"17","ACER","Y2013",8876.5873015873
"18","ACER","Y2014",3650
"19","ACHC","Y2009",8988.09523809524
"20","ACHC","Y2010",5819.04761904762
"21","ACHV","Y2010",7113.88888888889
"22","ACHV","Y2011",3952.77777777778
"23","ACHV","Y2012",6235.6
"24","ACHV","Y2013",7403.1746031746
"25","ACST","Y2012",138.053097345133
"26","ACST","Y2013",7136.11111111111
"27","ADMA","Y2014",6427.77777777778
"28","ADMP","Y2009",3134.12698412698
"29","ADMP","Y2010",6330.15873015873
"30","ADMP","Y2011",4674.20634920635
"31","ADMP","Y2012",7020.4
"32","ADXS","Y2009",5952.77777777778
"33","ADXS","Y2010",6523.4126984127
"34","ADXS","Y2011",5063.88888888889
"35","ADXS","Y2012",9212.8
"36","AEMD","Y2009",3554.7619047619
"37","AEMD","Y2010",2418.25396825397
"38","AEMD","Y2011",5012.30158730159
"39","AEMD","Y2012",5306
"40","AEMD","Y2013",7286.50793650794
"41","AETI","Y2009",3915.07936507937
"42","AETI","Y2010",3843.25396825397
"43","AETI","Y2011",7634.52380952381
"44","AETI","Y2012",9608.8
"45","AEY","Y2009",7753.96825396825
"46","AEZS","Y2009",600
"47","AEZS","Y2010",3590.47619047619
"48","AEZS","Y2011",3199.60317460317
"49","AEZS","Y2012",3775.2
"50","AEZS","Y2013",7065.87301587302
"51","AHPI","Y2009",2911.50793650794
"52","AHPI","Y2010",2526.19047619048
"53","AHPI","Y2011",2477.77777777778
"54","AHPI","Y2012",1833.6
"55","AHPI","Y2013",2857.14285714286
"56","AHPI","Y2015",8121.8253968254
"57","AIPT","Y2015",243.712574850299
"58","AIRT","Y2015",3011.32075471698
"59","AIRT","Y2016",3317.07317073171
"60","AKTS","Y2015",2123.17073170732
"61","AKTX","Y2014",1029.2
"62","AKTX","Y2016",5720.2380952381
"63","ALBO","Y2009",998.015873015873
"64","ALBO","Y2010",4473.4126984127
"65","ALBO","Y2011",4506.34920634921
"66","ALBO","Y2012",1498.4
"67","ALBO","Y2014",8105.15873015873
"68","ALCO","Y2017",7354.98007968128
"69","ALOT","Y2009",6002.38095238095
"70","ALOT","Y2010",4104.36507936508
"71","ALOT","Y2011",3062.69841269841
"72","ALOT","Y2012",2648.4
"73","ALOT","Y2013",9091.26984126984
"74","ALOT","Y2014",6459.52380952381
"75","ALOT","Y2015",4820.63492063492
