"","Symbol","Year","Indicator"
"1","AABA","Y2008",1
"2","AAL","Y2008",0
"3","AAOI","Y2008",0
"4","AAON","Y2008",1
"5","AAPL","Y2008",0
"6","AAWW","Y2008",1
"7","AAXN","Y2008",1
"8","ABAC","Y2008",0
"9","ABAX","Y2008",0
"10","ABCD","Y2008",0
"11","ABEO","Y2008",1
"12","ABIO","Y2008",1
"13","ABLX","Y2008",0
"14","ABMD","Y2008",0
"15","ABUS","Y2008",1
"16","ACAD","Y2008",1
"17","ACER","Y2008",1
"18","ACET","Y2008",0
"19","ACHC","Y2008",0
"20","ACHN","Y2008",1
"21","ACHV","Y2008",1
"22","ACIA","Y2008",0
"23","ACIU","Y2008",0
"24","ACIW","Y2008",1
"25","ACLS","Y2008",1
"26","ACMR","Y2008",0
"27","ACOR","Y2008",1
"28","ACRS","Y2008",0
"29","ACRX","Y2008",0
"30","ACST","Y2008",0
"31","ACTG","Y2008",1
"32","ACXM","Y2008",0
"33","ADAP","Y2008",0
"34","ADBE","Y2008",0
"35","ADES","Y2008",1
"36","ADI","Y2008",0
"37","ADMA","Y2008",0
"38","ADMP","Y2008",1
"39","ADMS","Y2008",0
"40","ADOM","Y2008",0
"41","ADP","Y2008",0
"42","ADRO","Y2008",0
"43","ADSK","Y2008",0
"44","ADTN","Y2008",1
"45","ADUS","Y2008",1
"46","ADVM","Y2008",0
"47","ADXS","Y2008",0
"48","AEGN","Y2008",1
"49","AEHR","Y2008",0
"50","AEIS","Y2008",0
"51","AEMD","Y2008",0
"52","AERI","Y2008",0
"53","AETI","Y2008",1
"54","AEY","Y2008",0
"55","AEZS","Y2008",1
"56","AFAM","Y2008",1
"57","AFMD","Y2008",0
"58","AGEN","Y2008",1
"59","AGIO","Y2008",0
"60","AGLE","Y2008",0
"61","AGNC","Y2008",0
"62","AGNCB","Y2008",NA
"63","AGRX","Y2008",0
"64","AGTC","Y2008",0
"65","AGYS","Y2008",0
"66","AHGP","Y2008",1
"67","AHPA","Y2008",0
"68","AHPI","Y2008",0
"69","AIMC","Y2008",1
"70","AIMT","Y2008",0
"71","AIPT","Y2008",0
"72","AIRG","Y2008",0
"73","AIRT","Y2008",0
"74","AKAM","Y2008",1
"75","AKAO","Y2008",0
"76","AKBA","Y2008",0
"77","AKCA","Y2008",0
"78","AKER","Y2008",0
"79","AKRX","Y2008",1
"80","AKTS","Y2008",0
"81","AKTX","Y2008",0
"82","ALBO","Y2008",1
"83","ALCO","Y2008",0
"84","ALDR","Y2008",0
"85","ALDX","Y2008",0
"86","ALGN","Y2008",1
"87","ALGT","Y2008",1
"88","ALIM","Y2008",0
"89","ALJJ","Y2008",0
"90","ALKS","Y2008",0
"91","ALLT","Y2008",1
"92","ALNA","Y2008",0
"93","ALNY","Y2008",0
"94","ALOG","Y2008",0
"95","ALOT","Y2008",0
"96","ALPN","Y2008",0
"97","ALQA","Y2008",1
"98","ALRM","Y2008",0
"99","ALRN","Y2008",0
"100","ALSK","Y2008",1
"101","ALT","Y2008",1
"102","ALTR","Y2008",0
"103","ALXN","Y2008",0
"104","AMAG","Y2008",1
"105","AMAT","Y2008",0
"106","AMBA","Y2008",0
"107","AMCN","Y2008",1
"108","AMCX","Y2008",0
"109","AMD","Y2008",1
"110","AMDA","Y2008",0
"111","AMED","Y2008",1
"112","AMEH","Y2008",1
"113","AMGN","Y2008",0
"114","AMKR","Y2008",1
"115","AMMA","Y2008",0
"116","AMOT","Y2008",1
"117","AMPH","Y2008",0
"118","AMRH","Y2008",0
"119","AMRK","Y2008",0
"120","AMRN","Y2008",1
"121","AMRS","Y2008",0
"122","AMSC","Y2008",0
"123","AMSWA","Y2008",0
"124","AMTX","Y2008",0
"125","AMWD","Y2008",0
"126","AMZN","Y2008",0
"127","ANAB","Y2008",0
"128","ANDE","Y2008",1
"129","ANGI","Y2008",0
"130","ANGO","Y2008",0
"131","ANIK","Y2008",1
"132","ANIP","Y2008",1
"133","ANSS","Y2008",1
"134","ANTH","Y2008",0
"135","ANY","Y2008",0
"136","AOBC","Y2008",0
"137","AOSL","Y2008",0
"138","APDN","Y2008",0
"139","APEI","Y2008",1
"140","APEN","Y2008",1
"141","APLP","Y2008",1
"142","APLS","Y2008",0
"143","APOG","Y2008",0
"144","APPF","Y2008",0
"145","APPN","Y2008",0
"146","APPS","Y2008",1
"147","APRI","Y2008",1
"148","APTI","Y2008",0
"149","APTO","Y2008",0
"150","APVO","Y2008",0
"151","APWC","Y2008",1
"152","AQMS","Y2008",0
"153","AQXP","Y2008",0
"154","ARAY","Y2008",0
"155","ARCB","Y2008",1
"156","ARCI","Y2008",1
"157","ARCW","Y2008",0
"158","ARDM","Y2008",1
"159","ARDX","Y2008",0
"160","AREX","Y2008",1
"161","ARGS","Y2008",0
"162","ARGX","Y2008",0
"163","ARII","Y2008",1
"164","ARKR","Y2008",0
"165","ARLP","Y2008",1
"166","ARLZ","Y2008",1
"167","ARMO","Y2008",0
"168","ARNA","Y2008",1
"169","ARQL","Y2008",1
"170","ARRS","Y2008",1
"171","ARRY","Y2008",0
"172","ARTNA","Y2008",1
"173","ARTW","Y2008",0
"174","ARTX","Y2008",1
"175","ARWR","Y2008",0
"176","ASCMA","Y2008",1
"177","ASMB","Y2008",0
"178","ASML","Y2008",0
"179","ASNA","Y2008",0
"180","ASND","Y2008",0
"181","ASNS","Y2008",0
"182","ASPS","Y2008",0
"183","ASPU","Y2008",0
"184","ASTC","Y2008",0
"185","ASTE","Y2008",1
"186","ASUR","Y2008",1
"187","ASV","Y2008",0
"188","ASYS","Y2008",0
"189","ATAI","Y2008",0
"190","ATEC","Y2008",1
"191","ATHN","Y2008",0
"192","ATHX","Y2008",1
"193","ATNI","Y2008",1
"194","ATNX","Y2008",0
"195","ATOM","Y2008",0
"196","ATOS","Y2008",0
"197","ATRA","Y2008",0
"198","ATRC","Y2008",1
"199","ATRI","Y2008",1
"200","ATRO","Y2008",1
"201","ATRS","Y2008",1
"202","ATSG","Y2008",1
"203","ATTU","Y2008",1
"204","ATVI","Y2008",0
"205","ATXI","Y2008",0
"206","AUDC","Y2008",1
"207","AUPH","Y2008",0
"208","AUTO","Y2008",1
"209","AVAV","Y2008",0
"210","AVDL","Y2008",1
"211","AVEO","Y2008",0
"212","AVGO","Y2008",0
"213","AVGR","Y2008",0
"214","AVHI","Y2008",1
"215","AVID","Y2008",1
"216","AVNW","Y2008",0
"217","AVXL","Y2008",0
"218","AVXS","Y2008",0
"219","AWRE","Y2008",1
"220","AXAS","Y2008",1
"221","AXDX","Y2008",1
"222","AXGN","Y2008",1
"223","AXSM","Y2008",0
"224","AXTI","Y2008",1
"225","AY","Y2008",0
"226","AYTU","Y2008",0
"227","AZPN","Y2008",0
"228","AZRX","Y2008",0
"229","BABY","Y2008",1
"230","BAND","Y2008",0
"231","BASI","Y2008",0
"232","BATRK","Y2008",0
"233","BBBY","Y2008",0
"234","BBGI","Y2008",0
"235","BBOX","Y2008",0
"236","BBRG","Y2008",0
"237","BBSI","Y2008",1
"238","BCLI","Y2008",1
"239","BCOM","Y2008",1
"240","BCOV","Y2008",0
"241","BCPC","Y2008",1
"242","BCRX","Y2008",1
"243","BDSI","Y2008",1
"244","BEAT","Y2008",1
"245","BECN","Y2008",0
"246","BELFA","Y2008",1
"247","BELFB","Y2008",1
"248","BFRA","Y2008",0
"249","BGFV","Y2008",1
"250","BGNE","Y2008",0
"251","BIDU","Y2008",1
"252","BIIB","Y2008",0
"253","BIOC","Y2008",0
"254","BIOL","Y2008",1
"255","BIOS","Y2008",1
"256","BIVV","Y2008",0
"257","BJRI","Y2008",1
"258","BKEP","Y2008",0
"259","BKEPP","Y2008",NA
"260","BKYI","Y2008",1
"261","BL","Y2008",0
"262","BLBD","Y2008",0
"263","BLCM","Y2008",0
"264","BLDP","Y2008",1
"265","BLDR","Y2008",1
"266","BLFS","Y2008",1
"267","BLKB","Y2008",0
"268","BLMN","Y2008",0
"269","BLNK","Y2008",1
"270","BLPH","Y2008",0
"271","BLRX","Y2008",0
"272","BLUE","Y2008",0
"273","BMCH","Y2008",0
"274","BMRA","Y2008",0
"275","BMRN","Y2008",1
"276","BNFT","Y2008",0
"277","BNSO","Y2008",0
"278","BNTC","Y2008",0
"279","BOJA","Y2008",0
"280","BOLD","Y2008",0
"281","BOOM","Y2008",1
"282","BOSC","Y2008",1
"283","BOXL","Y2008",0
"284","BPMC","Y2008",0
"285","BPTH","Y2008",1
"286","BREW","Y2008",1
"287","BRID","Y2008",0
"288","BRKR","Y2008",1
"289","BRKS","Y2008",0
