"","Year","Symbol","PE_Ratio","Sector","Industry","Capital_structure","Efficiency","Profitability_related","F.Score","Holding_Return","Modified_PE_Ratio"
"1","Y2009","AABA",72.9471174730816,"Technology","EDP Services",3,1,3,7,0.375409918,72.9471174730816
"2","Y2009","AAL",0,"Transportation","Air Freight/Delivery Services",1,2,3,6,-0.37386805,-0.276728671228971
"3","Y2009","AAWW",15.0568530802092,"Transportation","Transportation Services",3,0,3,6,0.97089947,15.0568530802092
"4","Y2009","AAXN",0,"Capital Goods","Ordnance And Accessories",3,2,4,9,-0.17045455,120.972990777339
"5","Y2009","ABAX",35.9122816651969,"Capital Goods","Industrial Machinery/Components",3,1,3,7,0.5938863,35.9122816651969
"6","Y2009","ABCD",NA,"Consumer Services","Publishing",2,2,2,6,-0.02,NA
"7","Y2009","ABIO",0,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",2,0,0,2,-0.97370968,-0.57957695688105
"8","Y2009","ABMD",0,"Health Care","Medical/Dental Instruments",2,0,2,4,-0.4683313,-9.14377289377289
"9","Y2009","ACET",15.8014082199546,"Health Care","Other Pharmaceuticals",2,0,3,5,-0.48551449,15.8014082199546
"10","Y2009","ACIW",56.5911724901186,"Technology","Computer Software: Prepackaged Software",3,1,4,8,0.07861642,56.5911724901186
"11","Y2009","ACLS",0,"Technology","Industrial Machinery/Components",1,0,1,2,1.76470588,-1.99515758748422
"12","Y2009","ACOR",0,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",2,0,1,3,0.22866899,-10.6991535726533
"13","Y2009","ACTG",0,"Miscellaneous","Multi-Sector Companies",2,0,3,5,1.99671053,-9.06868154907073
"14","Y2009","ACXM",20.5178571428571,"Technology","EDP Services",2,2,4,8,0.65598027,20.5178571428571
"15","Y2009","ADBE",39.2137962926723,"Technology","Computer Software: Prepackaged Software",1,1,3,5,0.7275715,39.2137962926723
"16","Y2009","ADI",22.7147079505135,"Technology","Semiconductors",3,0,3,6,0.660357518,22.7147079505135
"17","Y2009","ADP",10.0740184561531,"Technology","EDP Services",3,1,4,8,0.088459504,10.0740184561531
"18","Y2009","ADSK",26.0221726289682,"Technology","Computer Software: Prepackaged Software",2,1,3,6,0.29312977,26.0221726289682
"19","Y2009","ADTN",13.9379821486425,"Public Utilities","Telecommunications Equipment",1,2,4,7,0.51545692,13.9379821486425
"20","Y2009","AEGN",20.189312663621,"Basic Industries","Water Supply",2,2,4,8,0.15388511,20.189312663621
"21","Y2009","AEIS",0,"Capital Goods","Industrial Machinery/Components",2,0,2,4,0.51557789,-4.21413994169096
"22","Y2009","AEMD",0,"Capital Goods","Biotechnology: Laboratory Analytical Instruments",2,2,4,8,0.3636364,-1.86791383219955
"23","Y2009","AETI",19.892527762093,"Energy","Industrial Machinery/Components",0,2,3,5,0.221621622,19.892527762093
"24","Y2009","AEY",6.35357142857143,"Consumer Services","Office Equipment/Supplies/Services",3,1,3,7,0.10674157,6.35357142857143
"25","Y2009","AEZS",0,"Health Care","Major Pharmaceuticals",3,1,1,5,0.6530612,-0.943570016939582
"26","Y2009","AFAM",12.8003280760504,"Health Care","Medical/Nursing Services",0,2,3,5,-0.12116498,12.8003280760504
"27","Y2009","AGEN",0,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",2,1,1,4,0.33333333,-3.49707510013175
"28","Y2009","AGNC",1.64316335275424,"Consumer Services","Real Estate Investment Trusts",2,2,3,7,0.24250935,1.64316335275424
"29","Y2009","AGYS",0,"Technology","EDP Services",2,2,1,5,1.123543124,-0.479200936545789
"30","Y2009","AHGP",8.0955641885608,"Energy","Coal Mining",2,0,0,2,0.85202703,8.0955641885608
"31","Y2009","AHPI",0,"Health Care","Industrial Specialties",3,0,3,6,0.71246006,-2.03086627732854
"32","Y2009","AIMC",48.9815064189723,"Capital Goods","Industrial Machinery/Components",2,1,3,6,0.56131479,48.9815064189723
"33","Y2009","AKAM",33.078951378396,"Miscellaneous","Business Services",1,0,4,5,0.67925779,33.078951378396
"34","Y2009","ALBO",0,"Health Care","Major Pharmaceuticals",2,2,2,6,-0.09958501,-5.9192576037889
"35","Y2009","ALCO",0,"Consumer Non-Durables","Farming/Seeds/Milling",1,1,2,4,-0.30568437,-53.8567426303855
"36","Y2009","ALGN",9.27848863468882,"Health Care","Industrial Specialties",2,1,3,6,1.03657143,9.27848863468882
"37","Y2009","ALGT",14.6241487536841,"Transportation","Air Freight/Delivery Services",2,0,3,5,-0.028824418,14.6241487536841
"38","Y2009","ALJJ",0,"Miscellaneous","Business Services",2,0,1,3,0.03571429,Inf
"39","Y2009","ALKS",7.06454248366013,"Health Care","Major Pharmaceuticals",2,2,2,6,-0.11643192,7.06454248366013
"40","Y2009","ALLT",0,"Technology","Computer Communications Equipment",3,1,2,6,1.38787879,-3.68474308300395
"41","Y2009","ALOG",0,"Capital Goods","Electrical Products",3,0,3,6,0.411656766,114.29533923098
"42","Y2009","ALOT",11.7947658035714,"Technology","Computer peripheral equipment",3,1,3,7,0.2310231,11.7947658035714
"43","Y2009","ALQA",0,"Health Care","Medical/Dental Instruments",3,2,1,6,-0.0625,-9.30632411067194
"44","Y2009","ALSK",0,"Public Utilities","Telecommunications Equipment",2,2,3,7,-0.14925373,-30.7603142924901
"45","Y2009","AMAG",0,"Health Care","Major Pharmaceuticals",1,0,1,2,0.060808957,-9.50878559279171
"46","Y2009","AMAT",0,"Technology","Semiconductors",2,0,2,4,0.376110563,-43.0390608695652
"47","Y2009","AMCN",30.8436938375853,"Technology","Advertising",1,1,3,5,0.56458333,30.8436938375853
"48","Y2009","AMED",14.9630029828395,"Health Care","Medical/Nursing Services",1,1,3,5,0.17561679,14.9630029828395
